"Site ID (new)","Site On-air Date","Design Type","Dismantle Date"
"DHK_B1518_4","39518.0","IBS","40507.0"
"DHK_B1526_4","39551.0","IBS","40974.0"
"DHK_B1536_4","39561.0","IBS","39856.0"
"DHK_B1564_4","39688.0","IBS","40988.0"
"DHK_B3001_4","39659.0","IBS","41731.0"
"DHK_B3007_4","39660.0","IBS","41336.0"
"DHK_B3034_4","39683.0","IBS","40629.0"
"DHK_B3072_4","39688.0","IBS","39845.0"
"DHK_B3178_4","40359.0","IBS","41508.0"
"DHK_B3912_4","40602.0","IBS","42029.0"
"DHK_B3925_4","40650.0","IBS","41626.0"
"DHK_B3926_4","40650.0","IBS","41626.0"
"DHK_B3927_4","40726.0","IBS","41788.0"
"DHK_B3955_4","40675.0","IBS","41295.0"
"DHK_B3956_4","40682.0","IBS","41452.0"
"DHK_B4384_4","42232.0","IBS","42565.0"
"DHK_B4513_4","40833.0","IBS","41675.0"
"DHK_B4557_4","40877.0","IBS","41786.0"
"DHK_B4563_4","41018.0","IBS","42226.0"
"DHK_B4564_4","40999.0","IBS","42220.0"
"DHK_B4589_4","41284.0","IBS","41935.0"
"DHK_B4597_4","41235.0","IBS","42353.0"
"DHK_B4598_4","41235.0","IBS","41489.0"
"DHK_B4758","42215.0","IBS","42340.0"
"DHK_B4984_4","41425.0","IBS","42540.0"
"DHK_B4987_4","41480.0","IBS","42326.0"
"DHK_B4994_4","41455.0","IBS","42297.0"
"DHK_B4999_4","41486.0","IBS","41959.0"
"DHK_B5418_4","41728.0","IBS","42149.0"
"DHK_B5423_4","41759.0","IBS","42375.0"
"DHK_M0064_6","39319.0","Micro","41258.0"
"DHK_M0240_5","39330.0","Micro","40106.0"
"DHK_M0240_6","39330.0","Micro","39833.0"
"DHK_M0252_6","39716.0","Micro","39849.0"
"DHK_M0279_5","39712.0","Micro","40611.0"
"DHK_M0489_5","39339.0","Micro","40924.0"
"DHK_M0511_4","38803.0","Micro","41280.0"
"DHK_M0523_6","39347.0","Micro","40924.0"
"DHK_M0538_5","39350.0","Micro","39606.0"
"DHK_M0547_5","39347.0","Micro","40924.0"
"DHK_M0552_4","39350.0","Micro","39362.0"
"DHK_M0570_6","39711.0","Micro","40612.0"
"DHK_M0604_1","38747.0","Micro","40604.0"
"DHK_M0604_1_2","39189.0","Micro","40037.0"
"DHK_M0621_6","39715.0","Micro","40332.0"
"DHK_M0623_1","38797.0","Micro","41675.0"
"DHK_M0623_1_2","38797.0","Micro","41675.0"
"DHK_M0623_2","38797.0","Micro","41675.0"
"DHK_M0623_3","38797.0","Micro","41675.0"
"DHK_M0636_1","38899.0","Micro","41645.0"
"DHK_M0664_1","38925.0","Micro","39514.0"
"DHK_M0664_4","39319.0","Micro","40628.0"
"DHK_M0667_1","38966.0","Micro","39184.0"
"DHK_M0667_2","38966.0","Micro","39184.0"
"DHK_M0677_4","38966.0","Micro","41877.0"
"DHK_M0772_4","39049.0","Micro","39671.0"
"DHK_M0772_5","39049.0","Micro","39671.0"
"DHK_M0772_6","39138.0","Micro","39671.0"
"DHK_M0889","","Micro",""
"DHK_M0889","","Micro",""
"DHK_M0890_4","39202.0","Micro","42144.0"
"DHK_M0890_5","39202.0","Micro","42144.0"
"DHK_M0897","","Micro",""
"DHK_M0897","","Micro",""
"DHK_M0900_4","39059.0","Micro","41385.0"
"DHK_M0900_5","39059.0","Micro","41385.0"
"DHK_M0901_4","39133.0","Micro","41419.0"
"DHK_M0901_5","39133.0","Micro","41419.0"
"DHK_M1209_4","39130.0","Micro","40626.0"
"DHK_M1209_5","39130.0","Micro","40626.0"
"DHK_M1224_4","39136.0","Micro","42215.0"
"DHK_M1224_5","39136.0","Micro","42215.0"
"DHK_M1228_4","39163.0","Micro","41826.0"
"DHK_M1234_4","39178.0","Micro","40692.0"
"DHK_M1234_5","39178.0","Micro","40692.0"
"DHK_M1240_4","39168.0","Micro","42283.0"
"DHK_M1253_4","39165.0","Micro","41571.0"
"DHK_M1253_5","39165.0","Micro","41571.0"
"DHK_M1254_4","39226.0","Micro","42584.0"
"DHK_M1254_5","39226.0","Micro","42584.0"
"DHK_M1254_6","39226.0","Micro","42584.0"
"DHK_M1256_4","39161.0","Micro","42283.0"
"DHK_M1256_5","39161.0","Micro","42283.0"
"DHK_M1266_4","39202.0","Micro","41875.0"
"DHK_M1280_4","39292.0","Micro","41440.0"
"DHK_M1281_4","39280.0","Micro","42216.0"
"DHK_M1308_4","39292.0","Micro","41876.0"
"DHK_M1308_5","39292.0","Micro","41876.0"
"DHK_M1313_4","39340.0","Micro","40645.0"
"DHK_M1313_5","39349.0","Micro","40890.0"
"DHK_M1314_4","39410.0","Micro","40091.0"
"DHK_M1315_4","39414.0","Micro","42057.0"
"DHK_M1315_5","39414.0","Micro","42057.0"
